person_relationship_id,person_relationship_sequence,person_id_1,relationship_type,person_id_2,relationship_category,reference_id,relationship_notes,,,,,,,,,,,,,,,,,,
G-d_1:Adam_1:1,1,G-d_1,Creator,Adam_1,explicit,GEN 2:7,,,,,,,,,,,,,,,,,,,
Adam_1:Eve_1:2,2,Adam_1,husband,Eve_1,explicit,GEN 3:6,,,,,,,,,,,,,,,,,,,
Eve_1:Adam_1:3,3,Eve_1,wife,Adam_1,explicit,GEN 2:25,,,,,,,,,,,,,,,,,,,
Adam_1:Cain_1:4,4,Adam_1,father,Cain_1,explicit,GEN 4:1,,,,,,,,,,,,,,,,,,,
Cain_1:Adam_1:5,5,Cain_1,son,Adam_1,explicit,GEN 4:1,,,,,,,,,,,,,,,,,,,
Eve_1:Cain_1:6,6,Eve_1,mother,Cain_1,explicit,GEN 4:1,,,,,,,,,,,,,,,,,,,
Cain_1:Eve_1:7,7,Cain_1,son,Eve_1,explicit,GEN 4:1,,,,,,,,,,,,,,,,,,,
Adam_1:Abel_1:8,8,Adam_1,father,Abel_1,logical,GEN 4:2,,,,,,,,,,,,,,,,,,,
Abel_1:Adam_1:9,9,Abel_1,son,Adam_1,logical,GEN 4:2,,,,,,,,,,,,,,,,,,,
Eve_1:Abel_1:10,10,Eve_1,mother,Abel_1,explicit,GEN 4:2,,,,,,,,,,,,,,,,,,,
Abel_1:Eve_1:11,11,Abel_1,son,Eve_1,logical,GEN 4:2,,,,,,,,,,,,,,,,,,,
Cain_1:Abel_1:12,12,Cain_1,brother,Abel_1,explicit,GEN 4:2,,,,,,,,,,,,,,,,,,,
Abel_1:Cain_1:13,13,Abel_1,brother,Cain_1,explicit,GEN 4:2,,,,,,,,,,,,,,,,,,,
Cain_1:Abel_1:14,14,Cain_1,killer,Abel_1,explicit,GEN 4:8,,,,,,,,,,,,,,,,,,,
Abel_1:Cain_1:15,15,Abel_1,killed by,Cain_1,logical,GEN 4:8,,,,,,,,,,,,,,,,,,,
Cain_1:Enoch_1:16,16,Cain_1,father,Enoch_1,explicit,GEN 4:17,,,,,,,,,,,,,,,,,,,
Enoch_1:Cain_1:17,17,Enoch_1,son,Cain_1,logical,GEN 4:17,,,,,,,,,,,,,,,,,,,
Enoch_1:Irad_1:18,18,Enoch_1,father,Irad_1,explicit,GEN 4:18,,,,,,,,,,,,,,,,,,,
Irad_1:Enoch_1:19,19,Irad_1,son,Enoch_1,logical,GEN 4:18,,,,,,,,,,,,,,,,,,,
Irad_1:Mehujael_1:20,20,Irad_1,father,Mehujael_1,explicit,GEN 4:18,,,,,,,,,,,,,,,,,,,
Mehujael_1:Irad_1:21,21,Mehujael_1,son,Irad_1,logical,GEN 4:18,,,,,,,,,,,,,,,,,,,
Mehujael_1:Methushael_1:22,22,Mehujael_1,father,Methushael_1,explicit,GEN 4:18,,,,,,,,,,,,,,,,,,,
Methushael_1:Mehujael_1:23,23,Methushael_1,son,Mehujael_1,logical,GEN 4:18,,,,,,,,,,,,,,,,,,,
Methushael_1:Lamech_1:24,24,Methushael_1,father,Lamech_1,explicit,GEN 4:18,,,,,,,,,,,,,,,,,,,
Lamech_1:Methushael_1:25,25,Lamech_1,son,Methushael_1,logical,GEN 4:18,,,,,,,,,,,,,,,,,,,
Lamech_1:Adah_1:26,26,Lamech_1,husband,Adah_1,logical,GEN 4:19,,,,,,,,,,,,,,,,,,,
Adah_1:Lamech_1:27,27,Adah_1,wife,Lamech_1,explicit,GEN 4:19,,,,,,,,,,,,,,,,,,,
Lamech_1:Zillah_1:28,28,Lamech_1,husband,Zillah_1,logical,GEN 4:19,,,,,,,,,,,,,,,,,,,
Zillah_1:Lamech_1:29,29,Zillah_1,wife,Lamech_1,explicit,GEN 4:19,,,,,,,,,,,,,,,,,,,
Lamech_1:Jabal_1:30,30,Lamech_1,father,Jabal_1,logical,GEN 4:20,,,,,,,,,,,,,,,,,,,
Jabal_1:Lamech_1:31,31,Jabal_1,son,Lamech_1,logical,GEN 4:20,,,,,,,,,,,,,,,,,,,
Adah_1:Jabal_1:32,32,Adah_1,mother,Jabal_1,explicit,GEN 4:20,,,,,,,,,,,,,,,,,,,
Jabal_1:Adah_1:33,33,Jabal_1,son,Adah_1,logical,GEN 4:20,,,,,,,,,,,,,,,,,,,
Lamech_1:Jubal_1:34,34,Lamech_1,father,Jubal_1,logical,GEN 4:21,,,,,,,,,,,,,,,,,,,
Jubal_1:Lamech_1:35,35,Jubal_1,son,Lamech_1,logical,GEN 4:21,,,,,,,,,,,,,,,,,,,
Adah_1:Jubal_1:36,36,Adah_1,mother,Jubal_1,explicit,GEN 4:21,,,,,,,,,,,,,,,,,,,
Jubal_1:Adah_1:37,37,Jubal_1,son,Adah_1,logical,GEN 4:21,,,,,,,,,,,,,,,,,,,
